Quarterly Average New Property Price by Area,,,,,,,,,,,,,,,,,,,,,,,
Year/Qrt,National,Dublin ,Cork,Galway,Limerick,Waterford,Other Areas,,,,,,,,,,,,,,,,
2012Q2,"227,376","298,881","234,196","225,831","206,552","177,583","210,580",,,,,,,,,,,,,,,,
2012Q3,"221,123 ","258,104 ","239,559 ","207,081 ","211,810 ","183,133 ","210,554 ",,,,,,,,,,,,,,,,
2012Q4,"216,810 ","230,267 ","233,910 ","222,485 ","223,458 ","177,750 ","208,407 ",,,,,,,,,,,,,,,,
2013Q1,"225,340","265,706","227,291","251,147","236,542","155,444","213,523",,,,,,,,,,,,,,,,
2013Q2,"224,432","309,433","250,517","209,800","190,216","160,333","204,389",,,,,,,,,,,,,,,,
2013Q3,"232,083","311,778","235,495","215,392","212,044","153,907","209,262",,,,,,,,,,,,,,,,
2013Q4,"231,011","304,275","245,350","202,259","202,748","146,222","204,567",,,,,,,,,,,,,,,,
2014Q1,"234,098","308,645","229,375","223,834","215,748","176,998","207,000",,,,,,,,,,,,,,,,
2014Q2,"241,912","331,441","248,448","218,710","218,452","162,939","210,451",,,,,,,,,,,,,,,,
2014Q3,"247,398","345,054","236,137","236,665","183,855","229,450","210,479",,,,,,,,,,,,,,,,
2014Q4,"258,989","342,329","255,358","195,564","220,940","168,386","228,024",,,,,,,,,,,,,,,,
2015Q1,"267,517","360,876","234,073","253,163","235,717","242,671","234,831",,,,,,,,,,,,,,,,
2015Q2,"275,235","388,609","257,612","229,154","232,603","188,120","246,937",,,,,,,,,,,,,,,,
2015Q3,"285,015","373,518","259,694","242,043","233,816","225,367","256,773",,,,,,,,,,,,,,,,
2015Q4,"298,551","387,963","266,279","237,350","227,033","214,044","269,337",,,,,,,,,,,,,,,,
2016Q1,"309,703","402,211","273,731","269,960","228,740","211,448","275,351",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
